GEOID,region,pop_total,populated,tribal_any,ur_class,sole_defined_component,coverage_gap_score,score_unmasked_if_all_defined,usdm_summer_dsci,usfs_WHP_mean,epht_heat_days_summer
48001950402,south-central-tx,7115,True,False,Rural,building,0.0,0.6666666666666666,60.813037118743694,101.78817591313464,14.22222222222222
48473980000,south-central-tx,5841,True,False,Rural,building,0.0,0.6666666666666666,50.75863050255091,42.56228797162201,15.333333333333334
48121020111,south-central-tx,4402,True,False,Urban,building,0.0063241106719367,0.6687747035573123,83.92311561910742,9.553061758984445,11.88888888888889
06061023600,northern-ca,4361,True,False,Urban,building,0.000358422939068,0.6667861409796894,218.2709403063256,80.85242678986184,10.88888888888889
04013082020,maricopa-az,4027,True,False,Urban,building,0.0231416549789621,0.674380551659654,174.68797663027098,99.3134539401301,15.22222222222222
48085031633,south-central-tx,3636,True,False,Urban,building,0.0,0.6666666666666666,84.8101264893965,1.290329513918964,12.11111111111111
04013103305,maricopa-az,3536,True,False,Urban,poi,0.0,0.6666666666666666,169.62025316455697,1.8229511626922212,15.555555555555555
06061021048,northern-ca,3439,True,False,Urban,building,0.0053144375553587,0.6684381458517862,214.34599156118145,13.547356231217798,10.666666666666666
48113019301,south-central-tx,3098,True,False,Urban,building,0.0,0.6666666666666666,84.91988437245807,13.044802355167713,12.333333333333334
48201251401,south-central-tx,3011,True,False,Urban,building,0.001841620626151,0.6672805402087171,37.60823305761997,4.684678875463757,17.11111111111111
04013116707,maricopa-az,2730,True,False,Urban,building,0.0,0.6666666666666666,175.94936052773983,78.65674716023098,15.11111111111111
48491020609,south-central-tx,2297,True,False,Urban,building,0.0,0.6666666666666666,107.29972212024175,58.56880396545832,15.88888888888889
04021000228,maricopa-az,2130,True,False,Urban,building,0.0128205128205127,0.6709401709401709,190.8006878795456,142.93902976142851,14.666666666666666
48453036000,south-central-tx,1994,True,False,Urban,building,0.0,0.6666666666666666,113.96959528033555,51.84123660298032,15.77777777777778
04013116715,maricopa-az,1984,True,False,Urban,building,0.0,0.6666666666666666,175.94936657511914,38.74841363730834,15.11111111111111
40143009014,eastern-ok,1924,True,True,Urban,building,0.0,0.6666666666666666,55.632642364016704,6.594919148975714,11.77777777777778
04019004054,maricopa-az,1496,True,False,Urban,building,0.0,0.6666666666666666,172.9957805907173,116.95933711387752,15.0
04013940700,maricopa-az,88,True,True,Rural,building,0.0,0.6666666666666666,159.6430431182589,18.032304755774664,14.0
48029980005,south-central-tx,65,True,False,Rural,building,0.0,0.6666666666666666,151.40576069209345,24.7290621681144,16.0
48027980003,south-central-tx,1,True,False,Rural,building,0.0,0.6666666666666666,138.58406161000252,93.12821238073438,15.333333333333334
04005980200,maricopa-az,0,False,False,,building,0.0,0.6666666666666666,124.38425204740776,1861.874586056361,10.88888888888889
04013980700,maricopa-az,0,False,False,,building,0.0,0.6666666666666666,166.96545934678736,292.496622565755,15.11111111111111
04027980003,maricopa-az,0,False,False,,building,0.0,0.6666666666666666,135.15293871810854,1.7881484474527778,14.333333333333334
48465980000,south-central-tx,0,False,False,,poi,0.0,0.6666666666666666,141.89939302372224,2.719438527473382,14.333333333333334
